Comercio;ID Comercio;Invoice DateFecha de Ingreso;Región;Estado;Ciudad;Producto;Precio Por Unidad;Unidades Vendidas;Precio Final;Ganancias;Margen Operativo;Metodo de Venta
West Gear;1128299;24/4/2021;West;Oregon;Portland;Women's Athletic Footwear;$45.00 ;225;$1,01,250 ;$ 35,44;35%;In-store
West Gear;1128299;24/4/2021;West;Oregon;Portland;Men's Apparel;$50.00 ;125;$ 62,50;$ 25,00;40%;In-store
West Gear;1128299;24/4/2021;West;Oregon;Portland;Women's Apparel;$65.00 ;300;$1,95,000 ;$ 58,50;30%;In-store
West Gear;1128299;25/5/2021;West;Oregon;Portland;Men's Street Footwear;$50.00 ;500;$2,50,000 ;$ 87,50;35%;In-store
West Gear;1128299;25/5/2021;West;Oregon;Portland;Men's Athletic Footwear;$55.00 ;350;$1,92,500 ;$ 67,38;35%;In-store
West Gear;1128299;25/5/2021;West;Oregon;Portland;Women's Street Footwear;$55.00 ;350;$1,92,500 ;$ 67,38;35%;In-store
West Gear;1128299;25/5/2021;West;Oregon;Portland;Women's Athletic Footwear;$50.00 ;275;$1,37,500 ;$ 48,13;35%;In-store
West Gear;1128299;25/5/2021;West;Oregon;Portland;Men's Apparel;$45.00 ;175;$ 78,75;$ 31,50;40%;In-store
West Gear;1128299;25/5/2021;West;Oregon;Portland;Women's Apparel;$60.00 ;525;$3,15,000 ;$ 94,50;30%;In-store
West Gear;1128299;24/6/2021;West;Oregon;Portland;Men's Street Footwear;$55.00 ;775;$4,26,250 ;$1,49,188 ;35%;In-store
West Gear;1128299;24/6/2021;West;Oregon;Portland;Men's Athletic Footwear;$65.00 ;650;$4,22,500 ;$1,47,875 ;35%;In-store
West Gear;1128299;24/6/2021;West;Oregon;Portland;Women's Street Footwear;$80.00 ;650;$5,20,000 ;$1,82,000 ;35%;In-store
West Gear;1128299;24/6/2021;West;Oregon;Portland;Women's Athletic Footwear;$80.00 ;525;$4,20,000 ;$1,47,000 ;35%;In-store
West Gear;1128299;24/6/2021;West;Oregon;Portland;Men's Apparel;$90.00 ;400;$3,60,000 ;$1,44,000 ;40%;In-store
West Gear;1128299;24/6/2021;West;Oregon;Portland;Women's Apparel;$105.00 ;700;$7,35,000 ;$2,20,500 ;30%;In-store
West Gear;1128299;23/7/2021;West;Oregon;Portland;Men's Street Footwear;$85.00 ;850;$7,22,500 ;$2,52,875 ;35%;In-store
West Gear;1128299;23/7/2021;West;Oregon;Portland;Men's Athletic Footwear;$90.00 ;700;$6,30,000 ;$2,20,500 ;35%;In-store
West Gear;1128299;23/7/2021;West;Oregon;Portland;Women's Street Footwear;$90.00 ;650;$5,85,000 ;$2,04,750 ;35%;In-store
West Gear;1128299;23/7/2021;West;Oregon;Portland;Women's Athletic Footwear;$85.00 ;550;$4,67,500 ;$1,63,625 ;35%;In-store
West Gear;1128299;23/7/2021;West;Oregon;Portland;Men's Apparel;$90.00 ;600;$5,40,000 ;$2,16,000 ;40%;In-store
West Gear;1128299;23/7/2021;West;Oregon;Portland;Women's Apparel;$105.00 ;600;$6,30,000 ;$1,89,000 ;30%;In-store
West Gear;1128299;24/8/2021;West;Oregon;Portland;Men's Street Footwear;$90.00 ;800;$7,20,000 ;$2,52,000 ;35%;In-store
West Gear;1128299;24/8/2021;West;Oregon;Portland;Men's Athletic Footwear;$80.00 ;775;$6,20,000 ;$2,17,000 ;35%;In-store
West Gear;1128299;24/8/2021;West;Oregon;Portland;Women's Street Footwear;$70.00 ;650;$4,55,000 ;$1,59,250 ;35%;In-store
West Gear;1128299;24/8/2021;West;Oregon;Portland;Women's Athletic Footwear;$70.00 ;425;$2,97,500 ;$1,04,125 ;35%;In-store
West Gear;1128299;24/8/2021;West;Oregon;Portland;Men's Apparel;$70.00 ;425;$2,97,500 ;$1,19,000 ;40%;In-store
West Gear;1128299;24/8/2021;West;Oregon;Portland;Women's Apparel;$75.00 ;250;$1,87,500 ;$ 56,25;30%;In-store
West Gear;1128299;25/9/2021;West;Oregon;Portland;Men's Street Footwear;$50.00 ;450;$2,25,000 ;$ 78,75;35%;In-store
West Gear;1128299;25/9/2021;West;Oregon;Portland;Men's Athletic Footwear;$55.00 ;450;$2,47,500 ;$ 86,63;35%;In-store
West Gear;1128299;25/9/2021;West;Oregon;Portland;Women's Street Footwear;$50.00 ;250;$1,25,000 ;$ 43,75;35%;In-store
West Gear;1128299;25/9/2021;West;Oregon;Portland;Women's Athletic Footwear;$50.00 ;200;$1,00,000 ;$ 35,00;35%;In-store
West Gear;1128299;25/9/2021;West;Oregon;Portland;Men's Apparel;$60.00 ;225;$1,35,000 ;$ 54,00;40%;In-store
West Gear;1128299;25/9/2021;West;Oregon;Portland;Women's Apparel;$45.00 ;250;$1,12,500 ;$ 33,75;30%;In-store
West Gear;1128299;24/10/2021;West;Oregon;Portland;Men's Street Footwear;$40.00 ;350;$1,40,000 ;$ 49,00;35%;In-store
West Gear;1128299;24/10/2021;West;Oregon;Portland;Men's Athletic Footwear;$55.00 ;525;$2,88,750 ;$1,01,063 ;35%;In-store
West Gear;1128299;24/10/2021;West;Oregon;Portland;Women's Street Footwear;$50.00 ;350;$1,75,000 ;$ 61,25;35%;In-store
West Gear;1128299;24/10/2021;West;Oregon;Portland;Women's Athletic Footwear;$45.00 ;325;$1,46,250 ;$ 51,19;35%;In-store
West Gear;1128299;24/10/2021;West;Oregon;Portland;Men's Apparel;$55.00 ;300;$1,65,000 ;$ 66,00;40%;In-store
West Gear;1128299;24/10/2021;West;Oregon;Portland;Women's Apparel;$60.00 ;350;$2,10,000 ;$ 63,00;30%;In-store
West Gear;1128299;24/11/2021;West;Oregon;Portland;Men's Street Footwear;$45.00 ;575;$2,58,750 ;$ 90,56;35%;In-store
West Gear;1128299;24/11/2021;West;Oregon;Portland;Men's Athletic Footwear;$50.00 ;650;$3,25,000 ;$1,13,750 ;35%;In-store
West Gear;1128299;24/11/2021;West;Oregon;Portland;Women's Street Footwear;$45.00 ;475;$2,13,750 ;$ 74,81;35%;In-store
West Gear;1128299;24/11/2021;West;Oregon;Portland;Women's Athletic Footwear;$55.00 ;450;$2,47,500 ;$ 86,63;35%;In-store
West Gear;1128299;24/11/2021;West;Oregon;Portland;Men's Apparel;$75.00 ;425;$3,18,750 ;$1,27,500 ;40%;In-store
West Gear;1128299;24/11/2021;West;Oregon;Portland;Women's Apparel;$80.00 ;550;$4,40,000 ;$1,32,000 ;30%;In-store
West Gear;1128299;23/12/2021;West;Oregon;Portland;Men's Street Footwear;$65.00 ;750;$4,87,500 ;$1,70,625 ;35%;In-store
West Gear;1128299;23/12/2021;West;Oregon;Portland;Men's Athletic Footwear;$75.00 ;750;$5,62,500 ;$1,96,875 ;35%;In-store
West Gear;1128299;23/12/2021;West;Oregon;Portland;Women's Street Footwear;$70.00 ;550;$3,85,000 ;$1,34,750 ;35%;In-store
West Gear;1128299;23/12/2021;West;Oregon;Portland;Women's Athletic Footwear;$70.00 ;550;$3,85,000 ;$1,34,750 ;35%;In-store
West Gear;1128299;23/12/2021;West;Oregon;Portland;Men's Apparel;$80.00 ;475;$3,80,000 ;$1,52,000 ;40%;In-store
West Gear;1128299;23/12/2021;West;Oregon;Portland;Women's Apparel;$85.00 ;575;$4,88,750 ;$1,46,625 ;30%;In-store
West Gear;1128299;17/1/2021;West;Oregon;Portland;Men's Street Footwear;$35.00 ;400;$1,40,000 ;$ 56,00;40%;In-store
West Gear;1128299;17/1/2021;West;Oregon;Portland;Men's Athletic Footwear;$45.00 ;400;$1,80,000 ;$ 72,00;40%;In-store
West Gear;1128299;17/1/2021;West;Oregon;Portland;Women's Street Footwear;$45.00 ;400;$1,80,000 ;$ 72,00;40%;In-store
West Gear;1128299;17/1/2021;West;Oregon;Portland;Women's Athletic Footwear;$45.00 ;250;$1,12,500 ;$ 45,00;40%;In-store
West Gear;1128299;17/1/2021;West;Oregon;Portland;Men's Apparel;$50.00 ;200;$1,00,000 ;$ 45,00;45%;In-store
West Gear;1128299;17/1/2021;West;Oregon;Portland;Women's Apparel;$45.00 ;450;$2,02,500 ;$ 70,88;35%;In-store
West Gear;1128299;17/2/2021;West;Oregon;Portland;Men's Street Footwear;$35.00 ;500;$1,75,000 ;$ 70,00;40%;In-store
West Gear;1128299;17/2/2021;West;Oregon;Portland;Men's Athletic Footwear;$45.00 ;400;$1,80,000 ;$ 72,00;40%;In-store
West Gear;1128299;17/2/2021;West;Oregon;Portland;Women's Street Footwear;$45.00 ;400;$1,80,000 ;$ 72,00;40%;In-store
West Gear;1128299;17/2/2021;South;Louisiana;New Orleans;Women's Athletic Footwear;$45.00 ;250;$1,12,500 ;$ 45,00;40%;In-store
West Gear;1128299;17/2/2021;South;Louisiana;New Orleans;Men's Apparel;$50.00 ;175;$ 87,50;$ 39,38;45%;In-store
West Gear;1128299;17/2/2021;South;Louisiana;New Orleans;Women's Apparel;$45.00 ;375;$1,68,750 ;$ 59,06;35%;In-store
West Gear;1128299;16/3/2021;South;Louisiana;New Orleans;Men's Street Footwear;$45.00 ;525;$2,36,250 ;$ 94,50;40%;In-store
West Gear;1128299;16/3/2021;South;Louisiana;New Orleans;Men's Athletic Footwear;$55.00 ;375;$2,06,250 ;$ 82,50;40%;In-store
West Gear;1128299;16/3/2021;South;Louisiana;New Orleans;Women's Street Footwear;$60.00 ;400;$2,40,000 ;$ 96,00;40%;In-store
West Gear;1128299;16/3/2021;South;Louisiana;New Orleans;Women's Athletic Footwear;$55.00 ;300;$1,65,000 ;$ 66,00;40%;In-store
West Gear;1128299;16/3/2021;South;Louisiana;New Orleans;Men's Apparel;$60.00 ;150;$ 90,00;$ 40,50;45%;In-store
West Gear;1128299;16/3/2021;South;Louisiana;New Orleans;Women's Apparel;$45.00 ;350;$1,57,500 ;$ 55,13;35%;In-store
West Gear;1128299;17/4/2021;South;Louisiana;New Orleans;Men's Street Footwear;$50.00 ;525;$2,62,500 ;$1,05,000 ;40%;In-store
West Gear;1128299;17/4/2021;South;Louisiana;New Orleans;Men's Athletic Footwear;$55.00 ;325;$1,78,750 ;$ 71,50;40%;In-store
West Gear;1128299;17/4/2021;South;Louisiana;New Orleans;Women's Street Footwear;$55.00 ;375;$2,06,250 ;$ 82,50;40%;In-store
West Gear;1128299;17/4/2021;South;Louisiana;New Orleans;Women's Athletic Footwear;$40.00 ;275;$1,10,000 ;$ 44,00;40%;In-store
West Gear;1128299;17/4/2021;South;Louisiana;New Orleans;Men's Apparel;$45.00 ;175;$ 78,75;$ 35,44;45%;In-store
West Gear;1128299;17/4/2021;South;Louisiana;New Orleans;Women's Apparel;$60.00 ;350;$2,10,000 ;$ 73,50;35%;In-store
West Gear;1128299;18/5/2021;South;Louisiana;New Orleans;Men's Street Footwear;$45.00 ;550;$2,47,500 ;$ 99,00;40%;In-store
West Gear;1128299;18/5/2021;South;Louisiana;New Orleans;Men's Athletic Footwear;$50.00 ;400;$2,00,000 ;$ 80,00;40%;In-store
West Gear;1128299;18/5/2021;South;Louisiana;New Orleans;Women's Street Footwear;$50.00 ;400;$2,00,000 ;$ 80,00;40%;In-store
West Gear;1128299;18/5/2021;South;Louisiana;New Orleans;Women's Athletic Footwear;$45.00 ;325;$1,46,250 ;$ 58,50;40%;In-store
West Gear;1128299;18/5/2021;South;Louisiana;New Orleans;Men's Apparel;$40.00 ;225;$ 90,00;$ 40,50;45%;In-store
West Gear;1128299;18/5/2021;South;Louisiana;New Orleans;Women's Apparel;$65.00 ;575;$3,73,750 ;$1,30,813 ;35%;Online
West Gear;1128299;17/6/2021;South;Louisiana;New Orleans;Men's Street Footwear;$60.00 ;825;$4,95,000 ;$1,98,000 ;40%;Online
West Gear;1128299;17/6/2021;South;Louisiana;New Orleans;Men's Athletic Footwear;$70.00 ;700;$4,90,000 ;$1,96,000 ;40%;Online
West Gear;1128299;17/6/2021;South;Louisiana;New Orleans;Women's Street Footwear;$85.00 ;700;$5,95,000 ;$2,38,000 ;40%;Online
West Gear;1128299;17/6/2021;South;Louisiana;New Orleans;Women's Athletic Footwear;$85.00 ;575;$4,88,750 ;$1,95,500 ;40%;Online
West Gear;1128299;17/6/2021;South;Louisiana;New Orleans;Men's Apparel;$95.00 ;450;$4,27,500 ;$1,92,375 ;45%;Online
West Gear;1128299;17/6/2021;South;Louisiana;New Orleans;Women's Apparel;$110.00 ;750;$8,25,000 ;$2,88,750 ;35%;Online
West Gear;1128299;16/7/2021;South;Louisiana;New Orleans;Men's Street Footwear;$90.00 ;900;$8,10,000 ;$3,24,000 ;40%;Online
West Gear;1128299;16/7/2021;South;Louisiana;New Orleans;Men's Athletic Footwear;$95.00 ;750;$7,12,500 ;$2,85,000 ;40%;Online
West Gear;1128299;16/7/2021;South;Louisiana;New Orleans;Women's Street Footwear;$95.00 ;700;$6,65,000 ;$2,66,000 ;40%;Online
West Gear;1128299;16/7/2021;South;Louisiana;New Orleans;Women's Athletic Footwear;$90.00 ;600;$5,40,000 ;$2,16,000 ;40%;Online
West Gear;1128299;16/7/2021;South;Louisiana;New Orleans;Men's Apparel;$95.00 ;650;$6,17,500 ;$2,77,875 ;45%;Online
West Gear;1128299;16/7/2021;South;Louisiana;New Orleans;Women's Apparel;$110.00 ;650;$7,15,000 ;$2,50,250 ;35%;Online
West Gear;1128299;17/8/2021;South;Louisiana;New Orleans;Men's Street Footwear;$95.00 ;850;$8,07,500 ;$3,23,000 ;40%;Online
West Gear;1128299;17/8/2021;South;Louisiana;New Orleans;Men's Athletic Footwear;$85.00 ;825;$7,01,250 ;$2,80,500 ;40%;Online
West Gear;1128299;17/8/2021;South;Louisiana;New Orleans;Women's Street Footwear;$75.00 ;700;$5,25,000 ;$2,10,000 ;40%;Online
West Gear;1128299;17/8/2021;South;Louisiana;New Orleans;Women's Athletic Footwear;$75.00 ;475;$3,56,250 ;$1,42,500 ;40%;Online
West Gear;1128299;17/8/2021;South;Louisiana;New Orleans;Men's Apparel;$65.00 ;475;$3,08,750 ;$1,38,938 ;45%;Online
West Gear;1128299;17/8/2021;South;Louisiana;New Orleans;Women's Apparel;$70.00 ;300;$2,10,000 ;$ 73,50;35%;Online
West Gear;1128299;18/9/2021;South;Louisiana;New Orleans;Men's Street Footwear;$45.00 ;500;$2,25,000 ;$ 90,00;40%;Online
West Gear;1128299;18/9/2021;South;Louisiana;New Orleans;Men's Athletic Footwear;$50.00 ;500;$2,50,000 ;$1,00,000 ;40%;Online
West Gear;1128299;18/9/2021;South;Louisiana;New Orleans;Women's Street Footwear;$45.00 ;300;$1,35,000 ;$ 54,00;40%;Online
West Gear;1128299;18/9/2021;South;Louisiana;New Orleans;Women's Athletic Footwear;$45.00 ;250;$1,12,500 ;$ 45,00;40%;Online
West Gear;1128299;18/9/2021;South;Louisiana;New Orleans;Men's Apparel;$55.00 ;275;$1,51,250 ;$ 68,06;45%;Online
West Gear;1128299;18/9/2021;South;Louisiana;New Orleans;Women's Apparel;$40.00 ;300;$1,20,000 ;$ 42,00;35%;Online
West Gear;1128299;17/10/2021;South;Louisiana;New Orleans;Men's Street Footwear;$35.00 ;400;$1,40,000 ;$ 56,00;40%;Online
West Gear;1128299;17/10/2021;South;Louisiana;New Orleans;Men's Athletic Footwear;$50.00 ;575;$2,87,500 ;$1,15,000 ;40%;Online
West Gear;1128299;17/10/2021;South;Louisiana;New Orleans;Women's Street Footwear;$45.00 ;400;$1,80,000 ;$ 72,00;40%;Online
West Gear;1128299;17/10/2021;South;Louisiana;New Orleans;Women's Athletic Footwear;$40.00 ;375;$1,50,000 ;$ 60,00;40%;Online
West Gear;1128299;17/10/2021;South;Louisiana;New Orleans;Men's Apparel;$50.00 ;350;$1,75,000 ;$ 78,75;45%;Online
West Gear;1128299;17/10/2021;South;Louisiana;New Orleans;Women's Apparel;$55.00 ;400;$2,20,000 ;$ 77,00;35%;Online
West Gear;1128299;17/11/2021;South;Louisiana;New Orleans;Men's Street Footwear;$40.00 ;625;$2,50,000 ;$1,00,000 ;40%;Online
West Gear;1128299;17/11/2021;South;Louisiana;New Orleans;Men's Athletic Footwear;$45.00 ;700;$3,15,000 ;$1,26,000 ;40%;Online
West Gear;1128299;17/11/2021;South;Louisiana;New Orleans;Women's Street Footwear;$40.00 ;525;$2,10,000 ;$ 84,00;40%;Online
West Gear;1128299;17/11/2021;South;Louisiana;New Orleans;Women's Athletic Footwear;$50.00 ;500;$2,50,000 ;$1,00,000 ;40%;Online
West Gear;1128299;17/11/2021;South;Louisiana;New Orleans;Men's Apparel;$70.00 ;475;$3,32,500 ;$1,49,625 ;45%;Online
West Gear;1128299;17/11/2021;South;Louisiana;New Orleans;Women's Apparel;$85.00 ;600;$5,10,000 ;$1,78,500 ;35%;Online
West Gear;1128299;16/12/2021;South;Louisiana;New Orleans;Men's Street Footwear;$70.00 ;800;$5,60,000 ;$2,24,000 ;40%;Online
West Gear;1128299;16/12/2021;South;Louisiana;New Orleans;Men's Athletic Footwear;$80.00 ;800;$6,40,000 ;$2,56,000 ;40%;Online
Foot Locker;1128299;16/12/2021;South;Louisiana;New Orleans;Women's Street Footwear;$75.00 ;600;$4,50,000 ;$1,80,000 ;40%;Online
Foot Locker;1128299;16/12/2021;South;Louisiana;New Orleans;Women's Athletic Footwear;$75.00 ;600;$4,50,000 ;$1,80,000 ;40%;Online
Foot Locker;1128299;16/12/2021;South;Louisiana;New Orleans;Men's Apparel;$85.00 ;525;$4,46,250 ;$2,00,813 ;45%;Online
Foot Locker;1128299;16/12/2021;South;Louisiana;New Orleans;Women's Apparel;$90.00 ;625;$5,62,500 ;$1,96,875 ;35%;Online
Foot Locker;1197831;5/1/2021;South;Louisiana;New Orleans;Men's Street Footwear;$20.00 ;675;$1,35,000 ;$ 40,50;30%;Online
Foot Locker;1197831;5/1/2021;South;Louisiana;New Orleans;Men's Athletic Footwear;$30.00 ;675;$2,02,500 ;$ 60,75;30%;Online
Foot Locker;1197831;5/1/2021;South;Louisiana;New Orleans;Women's Street Footwear;$30.00 ;475;$1,42,500 ;$ 42,75;30%;Online
Foot Locker;1197831;5/1/2021;South;Louisiana;New Orleans;Women's Athletic Footwear;$35.00 ;475;$1,66,250 ;$ 66,50;40%;Online
Foot Locker;1197831;5/1/2021;South;Louisiana;New Orleans;Men's Apparel;$40.00 ;325;$1,30,000 ;$ 32,50;25%;Online
West Gear;1197831;5/1/2021;South;Louisiana;New Orleans;Women's Apparel;$35.00 ;475;$1,66,250 ;$ 74,81;45%;Online
Foot Locker;1197831;4/2/2021;South;Louisiana;New Orleans;Men's Street Footwear;$25.00 ;625;$1,56,250 ;$ 46,88;30%;Online
Foot Locker;1197831;4/2/2021;South;Louisiana;New Orleans;Men's Athletic Footwear;$35.00 ;600;$2,10,000 ;$ 63,00;30%;Online
Foot Locker;1197831;4/2/2021;South;Louisiana;New Orleans;Women's Street Footwear;$35.00 ;425;$1,48,750 ;$ 44,63;30%;Online
Foot Locker;1197831;4/2/2021;West;Idaho;Boise;Women's Athletic Footwear;$35.00 ;375;$1,31,250 ;$ 52,50;40%;Online
Foot Locker;1197831;4/2/2021;West;Idaho;Boise;Men's Apparel;$40.00 ;250;$1,00,000 ;$ 25,00;25%;Online
Foot Locker;1197831;4/2/2021;West;Idaho;Boise;Women's Apparel;$35.00 ;450;$1,57,500 ;$ 70,88;45%;Online
Foot Locker;1197831;6/3/2021;West;Idaho;Boise;Men's Street Footwear;$30.00 ;625;$1,87,500 ;$ 65,63;35%;Online
Foot Locker;1197831;6/3/2021;West;Idaho;Boise;Men's Athletic Footwear;$40.00 ;625;$2,50,000 ;$ 87,50;35%;Online
Foot Locker;1197831;6/3/2021;West;Idaho;Boise;Women's Street Footwear;$30.00 ;450;$1,35,000 ;$ 47,25;35%;Online
Foot Locker;1197831;6/3/2021;West;Idaho;Boise;Women's Athletic Footwear;$35.00 ;350;$1,22,500 ;$ 55,13;45%;Online
West Gear;1197831;6/3/2021;West;Idaho;Boise;Men's Apparel;$40.00 ;250;$1,00,000 ;$ 30,00;30%;Online
West Gear;1197831;6/3/2021;West;Idaho;Boise;Women's Apparel;$35.00 ;400;$1,40,000 ;$ 70,00;50%;Online
West Gear;1197831;5/4/2021;West;Idaho;Boise;Men's Street Footwear;$20.00 ;650;$1,30,000 ;$ 45,50;35%;Online
West Gear;1197831;5/4/2021;West;Idaho;Boise;Men's Athletic Footwear;$30.00 ;650;$1,95,000 ;$ 68,25;35%;Online
West Gear;1197831;5/4/2021;West;Idaho;Boise;Women's Street Footwear;$25.00 ;475;$1,18,750 ;$ 41,56;35%;Online
West Gear;1197831;5/4/2021;West;Idaho;Boise;Women's Athletic Footwear;$30.00 ;375;$1,12,500 ;$ 50,63;45%;Online
West Gear;1197831;5/4/2021;West;Idaho;Boise;Men's Apparel;$35.00 ;275;$ 96,25;$ 28,88;30%;Online
West Gear;1197831;5/4/2021;West;Idaho;Boise;Women's Apparel;$30.00 ;550;$1,65,000 ;$ 82,50;50%;Online
West Gear;1197831;5/5/2021;West;Idaho;Boise;Men's Street Footwear;$20.00 ;700;$1,40,000 ;$ 49,00;35%;Online
West Gear;1197831;5/5/2021;West;Idaho;Boise;Men's Athletic Footwear;$30.00 ;725;$2,17,500 ;$ 76,13;35%;Online
West Gear;1197831;5/5/2021;West;Idaho;Boise;Women's Street Footwear;$25.00 ;575;$1,43,750 ;$ 50,31;35%;Online
West Gear;1197831;5/5/2021;West;Idaho;Boise;Women's Athletic Footwear;$35.00 ;500;$1,75,000 ;$ 78,75;45%;Online
West Gear;1197831;5/5/2021;West;Idaho;Boise;Men's Apparel;$50.00 ;400;$2,00,000 ;$ 60,00;30%;Online
West Gear;1197831;5/5/2021;West;Idaho;Boise;Women's Apparel;$45.00 ;750;$3,37,500 ;$1,68,750 ;50%;Online
West Gear;1197831;4/6/2021;West;Idaho;Boise;Men's Street Footwear;$45.00 ;750;$3,37,500 ;$1,18,125 ;35%;Online
West Gear;1197831;4/6/2021;West;Idaho;Boise;Men's Athletic Footwear;$50.00 ;750;$3,75,000 ;$1,31,250 ;35%;Online
West Gear;1197831;4/6/2021;West;Idaho;Boise;Women's Street Footwear;$50.00 ;600;$3,00,000 ;$1,05,000 ;35%;Online
West Gear;1197831;4/6/2021;West;Idaho;Boise;Women's Athletic Footwear;$50.00 ;550;$2,75,000 ;$1,23,750 ;45%;Online
West Gear;1197831;4/6/2021;West;Idaho;Boise;Men's Apparel;$55.00 ;450;$2,47,500 ;$ 74,25;30%;Online
West Gear;1197831;4/6/2021;West;Idaho;Boise;Women's Apparel;$60.00 ;825;$4,95,000 ;$2,47,500 ;50%;Online
West Gear;1197831;6/7/2021;West;Idaho;Boise;Men's Street Footwear;$50.00 ;775;$3,87,500 ;$1,55,000 ;40%;Online
West Gear;1197831;6/7/2021;West;Idaho;Boise;Men's Athletic Footwear;$55.00 ;775;$4,26,250 ;$1,70,500 ;40%;Online
West Gear;1197831;6/7/2021;West;Idaho;Boise;Women's Street Footwear;$50.00 ;925;$4,62,500 ;$1,85,000 ;40%;Online
West Gear;1197831;6/7/2021;West;Idaho;Boise;Women's Athletic Footwear;$50.00 ;525;$2,62,500 ;$1,31,250 ;50%;Online
West Gear;1197831;6/7/2021;West;Idaho;Boise;Men's Apparel;$55.00 ;525;$2,88,750 ;$1,01,063 ;35%;Online
Foot Locker;1197831;6/7/2021;West;Idaho;Boise;Women's Apparel;$65.00 ;800;$5,20,000 ;$2,86,000 ;55%;Online
Foot Locker;1197831;8/8/2021;West;Idaho;Boise;Men's Street Footwear;$50.00 ;750;$3,75,000 ;$1,50,000 ;40%;Online
Foot Locker;1197831;8/8/2021;West;Idaho;Boise;Men's Athletic Footwear;$55.00 ;750;$4,12,500 ;$1,65,000 ;40%;Online
Foot Locker;1197831;8/8/2021;West;Idaho;Boise;Women's Street Footwear;$50.00 ;925;$4,62,500 ;$1,85,000 ;40%;Online
Foot Locker;1197831;8/8/2021;West;Idaho;Boise;Women's Athletic Footwear;$50.00 ;475;$2,37,500 ;$1,18,750 ;50%;Online
Sports Direct;1197831;8/8/2021;West;Idaho;Boise;Men's Apparel;$55.00 ;475;$2,61,250 ;$ 91,44;35%;Online
Sports Direct;1197831;8/8/2021;West;Idaho;Boise;Women's Apparel;$60.00 ;725;$4,35,000 ;$2,39,250 ;55%;Online
Sports Direct;1197831;5/9/2021;West;Idaho;Boise;Men's Street Footwear;$55.00 ;675;$3,71,250 ;$1,48,500 ;40%;Online
Sports Direct;1197831;5/9/2021;West;Idaho;Boise;Men's Athletic Footwear;$55.00 ;625;$3,43,750 ;$1,37,500 ;40%;Online
Sports Direct;1197831;5/9/2021;West;Idaho;Boise;Women's Street Footwear;$60.00 ;675;$4,05,000 ;$1,62,000 ;40%;Online
Sports Direct;1197831;5/9/2021;West;Idaho;Boise;Women's Athletic Footwear;$60.00 ;400;$2,40,000 ;$1,20,000 ;50%;Online
Sports Direct;1197831;5/9/2021;West;Idaho;Boise;Men's Apparel;$55.00 ;400;$2,20,000 ;$ 77,00;35%;Online
Sports Direct;1197831;5/9/2021;West;Idaho;Boise;Women's Apparel;$50.00 ;625;$3,12,500 ;$1,71,875 ;55%;Online
Sports Direct;1197831;4/10/2021;West;Idaho;Boise;Men's Street Footwear;$40.00 ;575;$2,30,000 ;$ 92,00;40%;Online
Sports Direct;1197831;4/10/2021;West;Idaho;Boise;Men's Athletic Footwear;$40.00 ;575;$2,30,000 ;$ 92,00;40%;Online
Sports Direct;1197831;4/10/2021;West;Idaho;Boise;Women's Street Footwear;$45.00 ;525;$2,36,250 ;$ 94,50;40%;Online
Sports Direct;1197831;4/10/2021;West;Idaho;Boise;Women's Athletic Footwear;$45.00 ;375;$1,68,750 ;$ 84,38;50%;Online
Sports Direct;1197831;4/10/2021;West;Idaho;Boise;Men's Apparel;$35.00 ;350;$1,22,500 ;$ 42,88;35%;Online
Sports Direct;1197831;4/10/2021;West;Idaho;Boise;Women's Apparel;$45.00 ;525;$2,36,250 ;$1,29,938 ;55%;Online
Sports Direct;1197831;5/11/2021;West;Idaho;Boise;Men's Street Footwear;$35.00 ;675;$2,36,250 ;$ 94,50;40%;Online
Sports Direct;1197831;5/11/2021;West;Idaho;Boise;Men's Athletic Footwear;$35.00 ;675;$2,36,250 ;$ 94,50;40%;Online
Sports Direct;1197831;5/11/2021;West;Idaho;Boise;Women's Street Footwear;$60.00 ;600;$3,60,000 ;$1,44,000 ;40%;Online
Sports Direct;1197831;5/11/2021;West;Idaho;Boise;Women's Athletic Footwear;$60.00 ;450;$2,70,000 ;$1,35,000 ;50%;Online
Sports Direct;1197831;5/11/2021;West;Idaho;Boise;Men's Apparel;$55.00 ;425;$2,33,750 ;$ 81,81;35%;Online
Sports Direct;1197831;5/11/2021;West;Idaho;Boise;Women's Apparel;$65.00 ;625;$4,06,250 ;$2,23,438 ;55%;Online
Foot Locker;1197831;4/12/2021;West;Idaho;Boise;Men's Street Footwear;$55.00 ;775;$4,26,250 ;$1,70,500 ;40%;Online
Foot Locker;1197831;4/12/2021;West;Idaho;Boise;Men's Athletic Footwear;$55.00 ;775;$4,26,250 ;$1,70,500 ;40%;Online
Foot Locker;1197831;4/12/2021;West;Idaho;Boise;Women's Street Footwear;$60.00 ;675;$4,05,000 ;$1,62,000 ;40%;Online
Foot Locker;1197831;4/12/2021;West;Idaho;Boise;Women's Athletic Footwear;$60.00 ;525;$3,15,000 ;$1,57,500 ;50%;Online
Foot Locker;1197831;4/12/2021;West;Idaho;Boise;Men's Apparel;$55.00 ;475;$2,61,250 ;$ 91,44;35%;Online
Foot Locker;1197831;4/12/2021;West;Idaho;Boise;Women's Apparel;$65.00 ;725;$4,71,250 ;$2,59,188 ;55%;Online
Foot Locker;1128299;23/1/2021;West;Idaho;Boise;Men's Street Footwear;$30.00 ;425;$1,27,500 ;$ 44,63;35%;Online
